gender,number_of_followers,number_of_posts,average_likes,likes_to_followers
Male,26638,383,96.3,0.36
Female,15602,294,60.2,0.39
male,9274,481,30.67,0.33
,13271,885,352.93,2.66
,13974,77,204.83,1.47
,131853,429,11367,8.62
Male,18740,465,276.4,1.47
,8534,217,477.1,5.59
Male,30258,33,3411.2,11.27
male,6461,78,32.83,0.51
,18367,193,246.07,1.34
,28485,184,619.5,2.17
Male,10806,178,179.87,1.66
Female,61066,212,2468.03,4.04
Male,20442,687,817.97,4
,17668,688,805.13,4.56
Male,21353,653,940.37,4.4
Male,12587,1973,245.77,1.95
Female,10199,287,222.67,2.18
,37092,4759,621.6,1.68
Female,16539,785,211.1,1.28
,14856,170,260.53,1.75
female,8025,446,190.2,2.37
Male,26778,815,488.97,1.83
Male,131045,753,1365.93,1.04
,11900,378,112.8,0.95
Female,11966,71,435.93,3.64
Female,12082,2454,293.97,2.43
,13362,573,502,3.76
Female,182066,1041,4270.77,2.35
,16509,1720,402.8,2.44
Male,15869,87,149.17,0.94
Male,30631,681,297.65,0.97
,12917,2143,156.4,1.21
,31907,1227,524.87,1.64
Male,26927,318,2317.9,8.61
Female,25357,578,920.3,3.63
,14734,1141,412.1,2.8
male,18823,219,1168.83,6.21
,18585,41,1040.33,5.6
,24917,1212,128.1,0.51
Female,17638,711,928.4,5.26
Female,12825,105,1256.53,9.8
,21903,5189,71.27,0.33
Male,21418,429,47.8,0.22
,47644,144,374.73,0.79
Male,28787,790,1245.73,4.33
Female,26914,348,1143.07,4.25
Male,18877,187,119.7,0.63
,6228,466,129.97,2.09
,15720,688,538.23,3.42
,14612,1248,504.33,3.45
Male,17214,1043,930.9,5.41
Male,1422578,1590,14857,1.57
Female,12285,2,415.5,3.38
Male,24816,3919,127.67,0.51
Male,20362,1336,433,2.13
female,11194,1430,235.7,2.11
Female,26810,1647,1162.87,4.34
,37779,1173,708.53,1.88
Female,22487,624,1112.87,4.95
female,10103,874,169.63,1.68
,19985,1153,177.77,0.89
,14826,606,1379.3,9.3
,83059,824,2694.6,3.24
Male,12328,296,355.93,2.89
Male,14751,939,1135.33,7.7
Male,26822,526,1814.13,6.76
Male,230953,1639,5443.7,2.36
Male,25009,563,835.1,3.34
,142471,59,17877.9,12.55
,11287,115,204.8,1.81
,71578,28185,875.83,1.22
,5050,160,1081.13,21.41
Female,34957,505,2107.6,6.03
Male,7903,247,1039.17,13.15
male,8996,380,219.2,2.44
,11377,1078,71.15,2.92
,34649,1148,1050.93,3.03
Male,123045,766,1502.37,1.22
Female,63307,963,481.1,0.76
Female,90395,427,7599.87,8.41
Male,14832,409,470,3.17
Female,26888,221,850.8,3.16
Female,11084,142,208.13,1.88
Male,11670,1047,98.37,0.84
,545078,5328,30996.53,5.69
male,35782,1760,401.87,1.12
Male,43967,17,2102.71,4.78
Female,14103,701,11.7,0.08
Female,110563,395,4422.3,4
Male,19541,2095,602.33,3.08
,128661,712,2972.3,2.31
Male,24075,573,960.73,3.99
Male,22345,64,2498.53,11.18
Male,15809,378,323.97,2.05
Female,19413,461,117.9,0.61
,169249,1705,4240.23,2.51
Female,39724,723,474.3,1.19
,31754,152,812.3,2.56
Male,17836,625,1007.83,5.65
Male,59929,194,5578.87,9.31
Male,739821,139,20568.3,2.78
Male,12036,235,319.47,2.65
,14185,184,1181.33,8.33
Male,253945,25,26565.76,10.46
Male,263154,5041,5388.1,2.05
Male,15458,289,96.77,0.63
,12115,769,86.63,0.72
,41310,1432,372.63,0.9
Male,330357,624,26980.93,8.17
,148365,3197,2174.87,1.47
Male,179458,2381,3470.73,1.93
male,16193,92,545.4,3.37
Male,12357,6,3795.5,30.72
Male,17600,505,104.03,0.59
Male,15070,201,420.4,2.79
,5539,94,80.23,1.45
,12097,794,412.13,3.41
male,6018,596,58.03,0.96
Male,10051,151,1247.17,12.41
,12261,2945,120.27,0.98
,8014,80,194.33,2.42
Male,97791,1033,1139.27,1.17
Female,39569,186,1077.83,2.72
Female,108507,365,3287.53,3.03
Female,34208,484,173.03,0.51
male,76054,522,4187.3,5.51
female,10221,293,793.97,7.77
,18203,588,163.4,0.9
Female,231720,1680,4198.63,1.81
Male,31543,224,746.13,2.37
Female,37599,1400,1173.9,3.12
,12947,264,1188.97,9.18
,78483,4324,5998.73,7.64
,20026,75,242.23,1.21
,481978,1807,4601.83,0.95
Female,22083,54,1911.53,8.66
Male,148104,1173,1771.77,1.2
Male,28564,395,74.9,0.26
,16151,931,27.63,0.17
Female,25728,1225,747.2,2.9
,38099,131,2777.6,7.29
,22771,757,880.27,3.87
Male,62131,1988,1298.67,2.09
,21818,695,529.2,2.43
Male,22347,53,1378.03,6.17
Female,17089,2051,342,2
,19304,836,77.23,0.4
,27130,1768,1014.67,3.74
,13407,81,42.67,0.32
Female,34404,30,1296.6,3.77
Male,22994,282,592.07,2.57
Male,78363,735,493.63,0.63
,17619,4867,112,0.64
Male,150001,801,4570.83,3.05
,37683,495,1432.57,3.8
,12957,4062,100.9,0.78
,14001,303,262.83,1.88
Male,37446,560,1656.7,4.42
Male,163782,318,5650.03,3.45
Male,13057,892,287.13,2.2
male,7047,298,309.3,4.39
,103135,1049,1756.03,1.7
,100892,2121,273.7,0.27
,14707,297,790.3,5.37
Male,16149,8,112.71,0.7
Male,13514,140,239.17,1.77
,17577,2200,258.63,1.47
female,11845,85,179.6,1.52
,22244,1204,349.9,1.57
female,5855,850,136.13,2.33
Female,13066,1915,247.33,1.89
Female,24949,1088,514.47,2.06
Male,10871,384,244.5,2.25
,13350,198,78.87,0.59
Female,24762,1410,230.37,0.93
,16166,320,151.73,0.94
Male,25537,3669,241.67,0.95
Female,10781,496,153.7,1.43
,10913,212,145.2,1.33
Female,9644,390,102.07,1.06
,16759,283,437.17,2.61
,19316,212,312.3,1.62
,9319,117,600.5,6.44
female,15756,403,683.43,4.34
,11007,96,448.1,4.07
female,6200,297,158.3,2.55
,5468,210,299.93,5.49
,10813,553,109.57,1.01
Female,29669,391,406.23,1.37
Female,37119,10,340.7,0.92
Female,438655,9187,2464.4,0.56
Female,29323,557,677.9,2.31
,11951,0,0,0
,19103,43,212.8,1.11
,25571,3244,159.63,0.62
,30369,1896,418,1.38
,110344,6320,714.37,0.65
,19712,549,267.8,1.36
,15010,168,55.8,0.37
,23886,468,313.57,1.31
,665611,5791,2101.27,0.32
,30441,857,1206.27,3.96
,10877,5,25.6,0.24
,10870,358,233.23,2.15
Male,11793,604,142.5,1.21
female,9700,173,170.37,1.76
,19899,453,47.8,0.24
Female,21326,751,193.83,0.91
,11378,205,306.23,2.69
Male,38466,734,214.1,0.56
Male,9720,66,260.23,2.68
,14642,458,201.97,1.38
,27240,231,371.13,1.36
,15907,15,9.73,0.06
Male,32443,375,1210.87,3.73
,16142,138,311.5,1.93
,20312,405,215.73,1.06
,13070,405,296.1,2.27
Male,128618,83,129.9,0.1
,78154,1100,2008.57,2.57
,112789,5038,438.5,0.39
,12044,385,168.63,1.4
,19231,7,13.71,0.07
,418691,856,6969.5,1.66
Male,12420,395,555.83,4.48
Female,24074,695,91.97,0.38
Male,19229,680,482.87,2.51
Female,50975,955,543.27,1.07
Female,251496,1475,328.07,0.13
male,17690,134,147,0.83
,18804,83,984.73,5.24
Male,15074,1928,151.63,1.01
Female,274162,1083,1817.73,0.66
,10143,1578,105.67,1.04
,213367,67,16789.03,7.87
,148307,4154,4381.83,2.95
Female,1086068,4822,13680.5,1.26
,11774,330,319.57,2.71
Female,553778,632,66571.1,12.02
Female,531884,1024,67885.23,12.76
male,11316,2000,157.9,1.4
,50411,595,118.57,0.24
female,46501,665,722.07,1.55
Male,56252,1771,725.5,1.29
Female,21043,957,567.57,2.7
Male,30060,852,855.4,2.85
,12161,983,143.57,1.18
Female,66278,113,1821.63,2.75
Female,155071,1442,1848.5,1.19
Male,17910,704,1977.1,11.04
,13065,529,383.27,2.93
Male,60208,2101,1323.8,2.2
,12254,853,147.4,1.2
Female,33106,2033,890.6,2.69
Female,61254,608,813.97,1.33
Male,14362,7,534.57,3.72
male,29690,186,3344.57,11.26
Male,10203,159,72.9,0.71
Male,8267,101,332.4,4.02
Male,24258,74,997,4.11
Male,12382,329,666.3,5.38
,7920,138,234.8,2.96
male,14301,208,737.6,5.16
,11455,1723,181.9,1.59
,10792,249,155.77,1.44
,10248,841,62.7,0.61
Female,21155,1765,345.2,1.63
female,17484,1569,887.1,5.07
Female,36237,3383,257.63,0.71
,13097,351,843,6.44
Male,660233,4651,4560.07,0.69
,14693,2621,73.8,0.5
,227422,10260,538.57,0.24
Female,18746,1276,101.13,0.54
,264974,2308,646.77,0.24
Female,21154,1979,710.4,3.36
,10190,1049,225.63,2.21
male,6133,192,189.27,3.09
Female,10365,340,415.43,4.01
Male,9780,320,438.53,4.48
,1222705,5215,33752.53,2.76
Female,20088,3463,245.47,1.22
Female,40982,258,979.33,2.39
,5701,87,294.67,5.17
,60020,531,1750.4,2.92
male,6034,1932,162.33,2.69
Male,134101,1369,5112.33,3.81
,17533,461,914.5,5.22
Female,48906,897,679.83,1.39
Male,137600,759,6589.2,4.79
,52539,1899,351.8,0.67
male,8150,216,293.37,3.6
,13934,1337,773.73,5.55
Male,56588,711,486.17,0.86
Male,14067,674,444.2,3.16
,39545,241,655.7,1.66
male,8202,49,152.2,1.86
,14478,6,671.67,4.64
male,11666,40,471.53,4.04
,11235,528,638.3,5.68
Male,13977,660,366.3,2.62
,28887,1472,498.67,1.73
Female,14320,284,279.23,1.95
Male,17985,1424,66.37,0.37
,21782,580,235.83,1.08
Male,19239,292,733.87,3.81
male,43809,1444,827.43,1.89
Male,31148,1231,960.37,3.08
male,6684,295,247.87,3.71
female,5069,33,459.57,9.07
Female,9008,1300,192.17,2.13
Male,21527,66,1019.43,4.74
Male,13727,298,826,6.02
Male,19481,396,535.5,2.75
male,6822,248,287.97,4.22
Male,53325,3469,230.73,0.43
Male,58326,89,184.6,0.32
,24856,68,1108.07,4.46
Male,19804,223,3163.97,15.98
Female,130099,5,3672.2,2.82
,45172,4963,183.43,0.41
male,8703,1162,515.97,5.93
Male,28172,957,304.53,1.08
Male,24862,1485,429.3,1.73
,106239,1924,892.97,0.84
Male,72498,121,4570.9,6.3
Male,15942,522,316.77,1.99
male,5617,2821,169.87,3.02
Male,18831,2620,315.33,1.67
Male,30922,1278,544.67,1.76
,156177,2335,4118.57,2.64
Male,19927,317,376.73,1.89
Male,51299,428,916,2.04
Female,23069,237,966.93,4.19
Male,9440,182,590.53,6.26
Male,19963,148,55.97,0.28
,1431450,62,111273.17,7.77
Female,57715,679,959.63,1.66
,112428,4,948.75,1.95
Female,12879,1013,195.17,1.52
Male,18541,45,1904.43,10.27
,19502,1330,537.7,2.76
Female,80280,256,3180.17,3.96
,14947,173,249.17,1.67
,12467,3609,300.6,2.41
Male,10626,241,431.8,4.06
male,6340,306,198.07,3.12
Female,28021,378,514.73,1.84
,16322,339,580,3.55
Female,13774,1155,151.2,1.1
Female,51175,1824,1607.5,3.14
,21839,2147,472.17,2.16
Male,105161,693,993.13,0.94
Male,46401,245,2292.37,4.94
,16325,1810,95.4,0.58
Male,43886,829,1106.93,2.52
Male,72659,1125,1275.3,1.76
female,23360,1912,469.6,2.01
female,6234,1853,53.57,0.86
,18842,2548,115,0.61
,30074,2305,138.27,0.46
Female,82162,482,2166.7,2.64
Male,36443,293,640.83,1.76
Male,147502,1840,5322.8,3.61
Male,25987,320,861.33,3.31
Male,237056,2882,3833.23,1.62
Male,621435,95,10380.7,1.67
male,16276,10,1040.8,6.39
Male,46858,1650,1026.1,2.19
Male,12949,955,259.7,2.01
,24720,203,1149.43,4.65
Male,35082,107,3169.2,9.03
Male,18816,445,933.1,4.96
male,18366,1860,1257.6,6.85
Male,58697,39,2025.03,3.45
male,9327,964,302.33,3.24
male,6034,670,403.83,6.69
Male,65308,703,2925.67,4.48
Male,11117,255,267.5,2.41
male,5608,1253,92.43,1.65
Male,50953,682,2451.8,4.81
Male,10080,395,180.35,1.79
Female,83774,946,3574.23,4.27
Male,17362,20,692.1,3.99
Male,39572,1843,667.57,1.69
Female,19032,452,944.93,4.96
,10812,392,251.9,2.33
,41428,205,613,1.48
,13931,3144,132.17,0.95
female,10199,187,1105.7,10.84
Female,30046,89,625.9,2.08
,17531,732,82.87,0.47
Male,49640,67,5637.73,11.36
Male,3338897,3915,140018.83,4.19
,54478,2529,213.17,0.39
Male,22838,543,272.53,1.19
,104177,1009,783.2,0.75
Male,34574,1389,1839.77,5.32
,6725,4,713.5,10.61
,30797,1129,160.17,0.52
Male,41879,511,1814.93,4.33
Male,23151,491,1289.1,5.57
Female,10998,377,420.3,3.82
Male,20188,19,508.95,2.52
,33630,127,924.5,2.75
,10425,194,205.23,1.97
,57548,174,6972.97,12.12
Male,28311,632,1498.8,5.29
,19541,1862,50.73,0.26
Female,36064,262,156.2,0.43
Male,15159,476,126.57,0.83
,10587,955,109.83,1.04
Female,20789,1305,183.67,0.88
female,13489,1659,221.23,1.64
Female,29072,180,258.33,0.89
,15596,2815,33.27,0.21
,63287,810,1038.17,1.64
female,35190,737,2948.73,8.38
female,6010,186,586.23,9.75
Female,10028,559,209.73,2.09
Female,12408,1793,91.1,0.73
,9908,80,317.7,3.21
male,16332,5955,1377.63,8.44
,11417,435,190.93,1.67
Male,38304,520,1411.7,3.69
Female,50248,2486,468.07,0.93
Male,9810,28,478.5,4.88
Male,35992,1266,603.3,1.68
,48873,17,1030.41,2.11
Male,20578,96,805.87,3.92
,12802,187,77.5,0.61
,13101,236,75.87,0.58
,28281,311,143.1,0.51
Male,22171,195,904,4.08
Female,32579,892,795,2.44
Male,139365,833,1022.5,0.73
Female,97797,563,2994.97,3.06
Female,40883,822,633.07,1.55
Female,83786,670,2213.77,2.64
Male,17404,219,874.67,5.03
Male,27675,700,2104.87,7.61
Male,31826,660,1308.8,4.11
,51998,4697,987.17,1.9
Male,31059,3154,748.93,2.41
Male,22472,1488,2165.5,9.64
Male,329120,61,23361.77,7.1
,12551,1113,143.77,1.15
Male,36025,12,1401.17,3.89
Female,46454,974,967.27,2.08
Female,13201,980,267.37,2.03
Female,40799,3007,453.67,1.11
Female,15976,968,158.93,0.99
,10324,377,577.37,5.59
,160447,117,3599.17,2.24
,15690,29,208,1.65
male,14289,60,275.1,1.93
Male,14182,153,2025.35,14.28
Female,627066,1808,19668.23,3.14
,32333,478,591.47,1.83
Female,190817,801,1511.2,0.79
Female,17610,1312,558.1,3.17
Male,21965,1514,699.93,3.19
Male,16139,1978,186.1,1.15
,23755,2194,127.5,0.54
,24072,1163,735.3,3.05
,10653,6,15284.67,143.48
Male,21372,1621,249.87,1.17
Male,118695,224,6389.47,5.38
Female,72916,487,479.03,0.66
Male,723195,1024,11339.73,1.57
Male,25499,364,1186.1,4.65
Male,92531,1209,3979.1,4.3
female,7472,88,432.27,5.79
Female,33041,174,1174.13,3.55
Male,29796,49,113.2,0.38
Male,29998,118,298.67,1
,51038,30,1422.3,2.79
Male,232023,2570,2179.83,0.94
Female,25230,1206,749.03,2.97
female,32140,2136,3084.27,9.6
Female,16752,674,826.43,4.93
,18880,127,719.03,3.81
,326740,1878,12594.93,3.85
,30830,990,410.57,1.33
,29946,339,1156.67,3.86
,114895,920,4914.83,4.28
Male,265628,1471,8614.6,3.24
Male,20229,849,418.77,2.07
,15950,518,1062.77,6.66
,18947,1200,58.33,0.31
Male,103297,217,1434.2,1.39
Male,72157,1278,450.97,0.62
Male,40934,463,571.97,1.4
Male,34502,798,158.23,0.46
,37305,164,1312.83,3.52
,18454,5,451.4,2.45
,75884,806,654.2,0.86
,36333,1883,306.93,0.84
male,7104,159,189.37,2.67
,352324,980,11683.73,3.32
Female,131446,3311,925.37,0.7
,35516,494,830.23,2.34
Male,21937,615,748.6,3.41
,29303,423,2107.83,7.19
,28642,247,205.43,0.72
Male,38183,446,1684.73,4.41
Male,16037,1221,3194.47,19.92
,70596,3537,387.07,0.55
Female,44407,1071,3052.8,6.87
Male,30029,1044,975.07,3.25
Male,10839,477,176.9,1.63
,17603,1175,28.77,0.16
female,11305,1032,302.87,2.68
Male,10016,324,248.2,2.48
,29877,265,1714.13,5.74
Male,62902,634,1738.23,2.76
Female,158771,528,987.63,0.62
,21855,4415,118.5,0.54
,9783,76,75.07,0.77
,29706,173,1633.37,5.5
,24709,2718,55.4,0.22
Male,63770,108,3862.93,6.06
Female,115563,1307,4794.57,4.15
Female,49023,0,0,0
Male,20947,499,169.3,0.81
male,32477,380,3336,10.27
male,9686,67,48.83,0.5
Female,33941,3971,142.73,0.42
,15506,39,213.27,1.38
Female,12339,1339,54.47,0.44
Female,21127,304,424,2.08
Male,18912,36,390.73,2.07
,478373,3359,20580.67,4.3
Female,85236,255,6580.63,7.72
Female,480636,1885,11770.37,2.45
Female,48866,48,687.97,1.41
female,20019,726,2997.47,14.97
Female,9974,2869,206.63,2.07
female,12128,149,1352.47,11.15
Male,9589,22,86.64,0.9
,14125,1132,575.93,4.08
,33508,1086,1355.9,4.05
Female,11202,1327,251.93,2.25
Female,40772,1054,1192.13,2.92
Male,43974,1933,1709.03,3.89
Female,95467,1171,2260.07,2.37
,73138,55,4124.2,5.64
,53788,2105,637.37,1.18
,68096,545,1185.43,1.74
Male,21955,1134,759.6,3.46
male,14642,567,506.77,3.46
,35547,166,888.57,2.5
Male,30333,1520,596.73,1.97
,12612,685,332.17,2.63
Male,19768,653,49.07,0.25
Male,35095,1262,557.37,1.59
Female,36246,24,1023,2.82
,6852,501,782.97,11.43
Female,604694,2619,4853.93,0.8
Female,384158,2415,1345.7,0.35
,10348,99,178.23,1.72
Female,31430,239,2410.53,7.67
,27821,1139,2366.83,8.51
Female,8426,573,237.9,2.82
,30178,551,1777.23,5.89
Female,12002,120,162.7,1.36
,45220,1263,399.13,0.88
Male,20177,3,3917,19.41
Male,11972,428,63.5,0.53
Male,13730,40,3165.27,23.05
Male,29447,1493,370.13,1.26
,12852,111,288.6,2.25
,396197,3,53508.33,13.51
,36457,207,2423.67,6.65
,22207,20,3602.95,16.22
Female,51419,462,2225.83,4.33
Male,19538,259,107.03,0.55
Female,72020,114,1884.5,2.62
Male,27422,4633,212.77,0.78
Male,21262,502,45.83,0.22
,14015,206,924.6,6.6
,54989,388,1684.5,3.06
,39127,642,1929.13,4.93
Male,40273,3177,2274.6,5.65
Male,15824,1264,303.63,1.92
Male,26020,152,1544.83,5.94
Female,42148,1508,130.67,0.31
Male,12247,390,201.83,1.65
male,8133,469,208.8,2.57
,46056,0,0,0
Male,15498,138,51.43,0.33
Male,139218,540,2212.87,1.59
Male,21627,1247,704,3.26
male,5531,56,63.63,1.15
Male,64140,1352,3063.47,4.78
Male,17196,423,564.17,3.28
Female,77998,329,1224.8,1.57
Female,353588,4093,6192.87,1.75
Female,35446,94,370.4,1.04
female,15847,724,596.5,3.76
Female,9752,435,142.63,1.46
Male,29329,373,1848.93,6.3
Female,23501,2426,304.47,1.3
Male,16408,375,1266.57,7.72
Male,12121,1228,500.9,4.13
Male,31667,531,309.43,0.98
,14391,1321,504.33,3.5
,33579,774,2119.5,6.31
Male,22066,1027,1627.53,7.38
male,12596,109,1215.73,9.65
Male,19158,1863,251.6,1.31
Male,23140,3,929.33,4.02
Female,32257,569,459.8,1.43
Male,23015,288,314.17,1.37
Male,192604,787,5228.53,2.71
,14735,50,1008.93,6.85
,65515,3085,217.33,0.33
Male,116654,235,2945.33,2.52
,17659,62,1289.8,7.3
,1001395,1610,81756.67,8.16
Female,68509,2057,4859.8,7.09
Female,17340,1562,562.27,3.24
Female,66146,1911,868.7,1.31
Female,69548,349,4110.3,5.91
Female,22431,187,852.47,3.8
,5066,1037,49.87,0.98
Male,12015,247,731.97,6.09
Male,40285,1108,301.07,0.75
Male,31599,247,805.17,2.55
Male,46544,557,466.97,1
Male,25130,1850,180.83,0.72
Female,51337,890,901.7,1.76
Female,29930,13,1717.15,5.74
Female,23124,24,228.08,0.99
Male,27204,110,2981.03,10.96
female,5409,195,122.73,2.27
,11521,12,211.82,1.84
male,6502,608,63.9,0.98
Male,45647,535,1082.33,2.37
Male,50247,585,2138.6,4.26
Female,62309,382,1084.77,1.74
Female,3066352,4669,21167.6,0.69
Female,109627,959,2435,2.22
,123163,401,3805.9,3.09
Female,67557,1006,2209.63,3.27
Female,63922,355,2544.27,3.98
female,7771,1510,321.8,4.14
,11104,56,1091.93,9.83
Male,112995,196,13230.17,11.71
female,5517,568,178.03,3.23
,17881,182,698.53,3.91
Female,22979,410,1788.9,7.78
female,8884,394,458.23,5.16
,13393,421,931.83,6.96
,11413,295,22.07,0.19
Female,10376,2446,35,0.34
Female,56880,914,421.13,0.74
Female,13188,616,618.57,4.69
Female,28509,373,824.57,2.89
Female,12351,150,404.87,3.28
female,9488,462,1345.07,14.18
Female,34073,733,199.7,0.59
Female,13158,51,105.97,0.81
male,6054,165,797.5,13.17
,35761,610,1410.93,3.95
,57935,17,533.82,0.92
Female,148798,1615,4029.7,2.71
,18245,482,1636.17,8.97
Female,34340,877,1438.67,4.19
male,22692,426,1365.1,6.02
Female,64968,935,2976.5,4.58
Female,254437,2937,7240.9,2.85
Female,164283,1044,6436.5,3.92
Female,15532,4603,157.07,1.01
Female,23183,1002,420.63,1.81
Male,27483,1318,315.37,1.15
Female,120289,1256,5414.6,4.5
Female,24703,2491,284.23,1.15
Female,288777,410,14691.43,5.09
Female,21939,649,72.93,0.33
Male,14291,3728,166.27,1.16
Male,53853,318,198.87,0.37
Female,23022,790,14.53,0.06
Female,48108,5939,1496.47,3.11
Female,13098,1114,490.53,3.75
Female,13175,61,50.17,0.38
Female,16496,222,524.07,3.18
Female,50174,886,585.87,1.17
Female,106005,1379,1724.13,1.63
female,5732,131,720.57,12.57
Female,86838,2051,739,0.85
Male,11690,200,105.87,0.91
Female,19756,60,1096.9,5.55
,12693,2230,259.83,2.05
Female,107190,272,2048.67,1.91
Female,15187,1187,852.77,5.62
,24378,8781,1.93,0.01
female,122997,1438,226.8,0.18
female,5462,75,189.73,3.47
Female,96787,4473,534.4,0.55
Male,28346,587,793.43,2.8
Female,13436,17,82.15,0.61
Female,63239,1226,2324.8,3.68
Female,66874,691,1549.6,2.32
Female,44865,1905,949.6,2.12
Female,89611,2504,1261.83,1.41
Male,23466,10407,176.37,0.75
Female,12913,1765,291.8,2.26
female,22158,387,721.9,3.26
Female,90906,6656,1483.73,1.63
Female,17856,440,379.43,2.12
,36358,247,288.53,0.79
Male,46067,50,2330.9,5.06
Female,12039,123,1380.17,11.46
Female,12597,2198,144.17,1.14
Male,15486,190,1401.43,9.05
female,10311,724,378.77,3.67
Female,135105,2003,10568.77,7.82
Female,68840,1893,766.3,1.11
,42973,930,819.17,1.91
male,8722,1331,51.17,0.59
,257827,2216,7405.2,2.87
,35853,91,2107.77,5.88
Male,47757,2753,307.43,0.64
,13007,315,822.2,6.32
Female,28558,223,2680.87,9.39
,20367,29,3610,17.72
Male,20655,212,477.37,2.31
female,11352,980,707.53,6.23
Female,74399,9229,1081.97,1.45
,10791,181,85.8,0.8
Male,12628,1065,861.17,6.82
female,10519,326,295.93,2.81
,15232,1411,139.43,0.92
Male,11867,979,221.67,1.87
Female,9883,0,0,0
,12570,604,174.8,1.39
,12506,1682,149.5,1.2
,7057,837,86.9,1.23
,38632,1460,2196.5,5.69
,53004,2825,298.67,0.56
,33013,1888,2260.6,6.85
,55811,9230,1306.7,2.34
Female,29761,3249,181.4,0.61
Female,54069,946,806,1.98
Female,10996,435,868.67,7.9
,74754,198,1376.2,1.84
Male,330174,1236,5395.33,1.63
Male,13770,509,399.4,2.9
,65417,814,3358.5,5.13
Male,15452,1825,245.63,1.59
Male,15100,355,237.83,1.58
Male,20683,590,200.43,0.97
,49565,313,790.73,1.6
Male,34277,52,298.73,0.87
Male,13377,101,679.93,5.08
Female,180173,1012,5197.9,2.88
Male,20768,749,629.27,3.03
,25845,238,238.3,0.92
,15481,1957,169.67,1.1
Female,87806,115,10756.23,12.25
Female,24998,337,380.07,1.52
Female,17519,1814,2461.53,14.05
,11222,2704,12.73,0.11
Male,11006,1041,777.97,7.07
Male,10031,245,710.83,7.09
,21376,989,20.17,0.09
Female,186713,4035,268.17,0.14
,239205,7161,185.9,0.08
,45241,711,388.3,0.86
,24521,1216,674.77,2.75
,57931,484,1285.73,2.22
,38700,2753,50.63,0.13
Male,17899,152,880.47,4.92
,255298,434,12370.73,4.85
,71525,2671,1131.3,1.58
Female,9151,637,121.9,1.33
Female,45514,2570,893.7,1.96
male,17046,87,692.8,4.06
female,6095,1144,140.6,2.31
Male,5688,467,243.93,4.29
male,8595,1970,557.87,6.49
Male,9627,596,139.87,1.45
,37959,361,27.33,0.07
,25538,178,183.6,0.72
Male,51239,234,1187.3,2.32
Male,14761,195,304.33,2.06
Female,28524,63,157.27,0.55
Male,16157,68,19401.63,120.08
,43518,522,753.87,1.73
Female,14328,2584,93.67,0.65
Female,41734,2732,1297.6,3.11
Female,18880,566,403.47,2.14
,251060,4201,20208.1,8.05
,78139,1233,927.7,1.19
,32069,38,1925,6
male,25984,227,1449.5,5.58
Female,36552,1051,306.13,0.84
Female,26654,2533,342.03,1.28
Male,69643,2536,64.73,0.09
,9556,345,461.5,4.83
,176024,614,5231.8,2.97
Female,16569,1958,581.03,3.51
,15398,66,646.57,4.2
male,12855,163,1351.67,10.51
Male,29626,72,377.87,1.28
,14109,238,651.33,4.62
Male,9865,152,53.47,0.54
,14764,44,29.87,0.2
,11732,1084,47.17,0.4
,30282,124,597.37,1.97
male,10943,126,200.93,1.84
Female,12636,722,106.77,0.84
Female,13413,746,472.03,3.52
,52590,167,31.23,0.06
Female,225806,1045,9747.63,4.32
Male,18074,2142,261.43,1.45
Male,42880,1417,630.67,1.47
,200904,4255,1459,0.73
,1020877,993,11239.3,1.1
female,21978,662,1699.8,7.73
,28686,1195,245.97,0.86
,73910,206,849.13,1.15
Male,13458,83,14.87,0.11
Male,32916,99,383.93,1.17
Male,88625,33,1309.67,1.48
Female,39244,1345,7012.7,17.87
Male,21427,427,852.47,3.98
Male,15900,240,244.3,1.54
female,117146,22,7615.64,6.5
,9798,95,736.5,7.52
,102236,597,1647.03,1.61
,6107,699,165.57,2.71
male,13329,474,331.63,2.49
Male,51743,40,1013.17,1.96
Male,9758,120,978,10.02
,35146,1003,438.63,1.25
Female,32143,627,695.93,2.17
Female,69875,785,1872,2.68
male,31369,92,4212.33,13.43
Male,56471,8,658.88,1.17
Female,27801,325,1488.43,5.35
,17077,2613,202.3,1.18
male,5254,345,1112.6,21.18
Female,11411,689,239.03,2.09
,28563,1859,2072.83,7.26
,4666,44,510.67,10.94
,17494,241,2200.1,12.58
Male,21888,115,684.2,3.13
,90525,683,2584.27,2.85
,35330,499,245.4,0.69
,55744,238,2168.87,3.89
Female,16134,1228,66.6,0.41
,14637,934,159,1.09
Male,10335,2405,259.6,2.51
,292199,1140,17965.73,6.15
Male,48687,303,2255.17,4.63
Female,25932,562,2200,8.48
Male,29172,786,32.17,0.11
,149880,1376,2062.97,1.38
Male,15398,72,34.7,0.23
Male,14090,94,702.3,4.98
,96395,126,7797.4,8.09
,15643,655,366.43,2.34
Male,52858,224,4268.73,8.08
Male,22476,3087,170.7,0.76
Male,17723,389,394.73,2.23
,43576,134,73.77,0.17
,30910,113,1338.17,4.33
Male,11249,217,144.63,1.29
Male,11801,548,323.9,2.74
Male,56042,1005,1559.5,2.78
Female,107159,899,810.17,0.76
,48245,546,1619,3.36
Female,69196,440,4781,6.91
,119432,6420,1198.73,1
,5319,532,103.9,1.95
male,14727,285,776.5,5.27
Female,20120,1390,513.2,2.55
,13533,51,719,5.31
,11263,340,307.17,2.73
,32009,1306,333.57,1.04
,152485,765,1146.77,0.75
,51659,0,0,0
,11037,584,484.03,4.39
